bid,lat,lon,btype,h3_grid_res_7,h3_grid_res_8,h3_grid_res_9,h3_grid_res_10
22112,51.346364,12.352171,196,871f1a8caffffff,881f1a8cabfffff,891f1a8caabffff,8a1f1a8caaa7fff
300061,51.339858,12.412034,150,871f1ab96ffffff,881f1ab967fffff,891f1ab967bffff,8a1f1ab967b7fff
22072,51.362564,12.436078,196,871f1ab94ffffff,881f1ab947fffff,891f1ab9477ffff,8a1f1ab94767fff
39196,51.344431,12.375883,71,871f1a8cbffffff,881f1a8cb1fffff,891f1a8cb1bffff,8a1f1a8cb187fff
23506,51.344076,12.385368,71,871f1a8cbffffff,881f1a8cb1fffff,891f1a8cb07ffff,8a1f1a8cb05ffff
23365,51.314778,12.368728,71,871f1a160ffffff,881f1a160dfffff,891f1a160d3ffff,8a1f1a160d2ffff
20238,51.338111,12.405314,71,871f1a165ffffff,881f1ab965fffff,891f1a165b3ffff,8a1f1a165b27fff
23229,51.34304,12.374506,71,871f1a8cbffffff,881f1a8cb1fffff,891f1a8cb57ffff,8a1f1a8cb56ffff
21881,51.331493,12.387349,196,871f1a165ffffff,881f1a165dfffff,891f1a165c3ffff,8a1f1a165c2ffff
23403,51.364884,12.354573,71,871f1a8c8ffffff,881f1a8c8dfffff,891f1a8c88bffff,8a1f1a8c8897fff
21906,51.339933,12.370997,196,871f1a8cbffffff,881f1a8cb5fffff,891f1a8cb43ffff,8a1f1a8cb427fff
23445,51.324844,12.378863,71,871f1a164ffffff,881f1a1643fffff,891f1a16423ffff,8a1f1a16420ffff
300191,51.348707,12.312248,150,871f1a8ddffffff,881f1a8dd9fffff,891f1a8dd87ffff,8a1f1a8dd867fff
20241,51.319693,12.396974,71,871f1a165ffffff,881f1a1657fffff,891f1a1657bffff,8a1f1a16579ffff
39029,51.340289,12.35118,71,871f1a8caffffff,881f1a8ca1fffff,891f1a8ca3bffff,8a1f1a8ca3b7fff
39010,51.363462,12.398394,71,871f1a8c9ffffff,881f1a8c91fffff,891f1a8c903ffff,8a1f1a8c900ffff
22128,51.3314,12.388828,196,871f1a165ffffff,881f1a165dfffff,891f1a165d7ffff,8a1f1a165c2ffff
39185,51.33224,12.368804,71,871f1a164ffffff,881f1a164bfffff,891f1a164bbffff,8a1f1a164ba7fff
20187,51.332836,12.306776,196,871f1a8ddffffff,881f1a8dd5fffff,891f1a8dd4fffff,8a1f1a8dd7b7fff
300257,51.341569,12.39551,150,871f1a8cbffffff,881f1a8cb3fffff,891f1a8cb2fffff,8a1f1a8cb2e7fff
20436,51.334844,12.323161,150,871f1a8ddffffff,881f1a8dd3fffff,891f1a8dd2bffff,8a1f1a8d9927fff
20279,51.341013,12.371641,71,871f1a8cbffffff,881f1a8cb5fffff,891f1a8cb57ffff,8a1f1a8cb557fff
22114,51.342458,12.379811,196,871f1a8cbffffff,881f1a8cb1fffff,891f1a8cb0bffff,8a1f1a8cb08ffff
22115,51.331982,12.32249,196,871f1a8d9ffffff,881f1a8d99fffff,891f1a8d99bffff,8a1f1a8d99a7fff
20229,51.324671,12.336989,71,871f1a8d9ffffff,881f1a8d91fffff,891f1a8d907ffff,8a1f1a8d906ffff
23151,51.3316,12.387008,196,871f1a165ffffff,881f1a165dfffff,891f1a165c3ffff,8a1f1a165c27fff
21642,51.328858,12.31141,196,871f1a8ddffffff,881f1a8d8bfffff,891f1a8dd6bffff,8a1f1a8dd697fff
300105,51.346338,12.352063,150,871f1a8caffffff,881f1a8cabfffff,891f1a8caabffff,8a1f1a8caaa7fff
20424,51.344427,12.375723,71,871f1a8cbffffff,881f1a8cb1fffff,891f1a8cb1bffff,8a1f1a8cb187fff
300154,51.331698,12.38201,150,871f1a165ffffff,881f1a165dfffff,891f1a165d3ffff,8a1f1a165d17fff
39084,51.332484,12.387402,71,871f1a165ffffff,881f1a165dfffff,891f1a165d7ffff,8a1f1a165d57fff
300143,51.346484,12.389596,150,871f1a8cbffffff,881f1a8cb3fffff,891f1a8cb33ffff,8a1f1a8cb327fff
20423,51.342129,12.375272,71,871f1a8cbffffff,881f1a8cb5fffff,891f1a8cb57ffff,8a1f1a8cb54ffff
20481,51.357804,12.360531,71,871f1a8c8ffffff,881f1a8c81fffff,891f1a8c80bffff,8a1f1a8c808ffff
23213,51.344404,12.389146,71,871f1a8cbffffff,881f1a8cb3fffff,891f1a8cb33ffff,8a1f1a8cb317fff
300189,51.331404,12.37215,150,871f1a164ffffff,881f1a164bfffff,891f1a164a3ffff,8a1f1a164a17fff
21748,51.340578,12.353632,196,871f1a8caffffff,881f1a8ca3fffff,891f1a8ca3bffff,8a1f1a8ca387fff
300097,51.322542,12.392119,150,871f1a165ffffff,881f1a1655fffff,891f1a16543ffff,8a1f1a16540ffff
21758,51.322591,12.392029,196,871f1a165ffffff,881f1a1655fffff,891f1a16543ffff,8a1f1a16540ffff
21524,51.357333,12.406429,196,871f1a8c9ffffff,881f1a8c97fffff,891f1a8c967ffff,8a1f1a8c966ffff
21851,51.375578,12.360246,196,871f1a8cdffffff,881f1a8cc3fffff,891f1a8cc27ffff,8a1f1a8cc247fff
300379,51.325773,12.341237,150,871f1a8d9ffffff,881f1a8d93fffff,891f1a8d933ffff,8a1f1a8d932ffff
22023,51.331507,12.37205,196,871f1a164ffffff,881f1a164bfffff,891f1a164a3ffff,8a1f1a164a17fff
23429,51.348813,12.355364,71,871f1a8caffffff,881f1a8cabfffff,891f1a8caa3ffff,8a1f1a8caa27fff
300132,51.357551,12.387347,150,871f1a8c9ffffff,881f1a8c95fffff,891f1a8c943ffff,8a1f1a8c9407fff
300342,51.347124,12.370211,150,871f1a8cbffffff,881f1a8cbdfffff,891f1a8cbc3ffff,8a1f1a8cbc77fff
22101,51.331671,12.384648,196,871f1a165ffffff,881f1a165dfffff,891f1a165d3ffff,8a1f1a165d1ffff
300179,51.335716,12.390053,150,871f1a165ffffff,881f1a1659fffff,891f1a1659bffff,8a1f1a1659b7fff
21570,51.32832,12.328197,196,871f1a8d9ffffff,881f1a8d99fffff,891f1a8d98fffff,8a1f1a8d98d7fff
20378,51.332067,12.3855,71,871f1a165ffffff,881f1a165dfffff,891f1a165d3ffff,8a1f1a165d0ffff
39068,51.338818,12.378158,71,871f1a8cbffffff,881f1a8cb7fffff,891f1a8cb47ffff,8a1f1a8cb7a7fff
300410,51.35992,12.36224,150,871f1a8c8ffffff,881f1a8c81fffff,891f1a8c803ffff,8a1f1a8c801ffff
21720,51.335729,12.383753,196,871f1a8cbffffff,881f1a8cb7fffff,891f1a8cb6fffff,8a1f1a8cb6f7fff
20500,51.332342,12.368892,71,871f1a164ffffff,881f1a164bfffff,891f1a164bbffff,8a1f1a164ba7fff
21688,51.364609,12.357029,196,871f1a8c8ffffff,881f1a8c89fffff,891f1a8c88bffff,8a1f1a8c889ffff
23120,51.32456,12.336989,71,871f1a8d9ffffff,881f1a8d91fffff,891f1a8d907ffff,8a1f1a8d906ffff
300272,51.329462,12.364847,150,871f1a164ffffff,881f1a1641fffff,891f1a16417ffff,8a1f1a164177fff
21880,51.334058,12.388058,196,871f1a165ffffff,881f1a165dfffff,891f1a165d7ffff,8a1f1a165d67fff
23329,51.332844,12.356411,196,871f1a164ffffff,881f1a1649fffff,891f1a1649bffff,8a1f1a164987fff
21539,51.345622,12.386774,196,871f1a8cbffffff,881f1a8cb1fffff,891f1a8cb07ffff,8a1f1a8cb06ffff
23471,51.334071,12.39469,71,871f1a165ffffff,881f1a1659fffff,891f1a1658bffff,8a1f1a1658affff
22092,51.326164,12.337667,196,871f1a8d9ffffff,881f1a8d9bfffff,891f1a8d9abffff,8a1f1a8d9a9ffff
21941,51.343182,12.376546,196,871f1a8cbffffff,881f1a8cb1fffff,891f1a8cb0bffff,8a1f1a8cb19ffff
